FrameCnt,DiffTime_ms,Date,Time,rel_alt,abs_alt,iso,shutter,fnum,ev,color_md,focal_len,latitude,longitude,ct,center_lat,center_lon,ground_offset_m,heading_deg
139,33,2026-04-27,15:27:39.866,49.8,759.842,120,1/1000.0,1.7,0,default,24.0,32.102482,35.20969,5514,32.10292936101149,35.20969,49.79999999999999,0.0
140,33,2026-04-27,15:27:39.899,49.8,759.842,120,1/1000.0,1.7,0,default,24.0,32.102483,35.209689,5514,32.10293036101149,35.209689,49.79999999999999,0.0
141,34,2026-04-27,15:27:39.933,49.8,759.842,120,1/1000.0,1.7,0,default,24.0,32.102483,35.209689,5514,32.10293036101149,35.209689,49.79999999999999,0.0
142,33,2026-04-27,15:27:39.966,49.8,759.842,120,1/1000.0,1.7,0,default,24.0,32.102483,35.209689,5514,32.10293036101149,35.209689,49.79999999999999,0.0
143,34,2026-04-27,15:27:40.000,49.8,759.842,120,1/1000.0,1.7,0,default,24.0,32.102484,35.209689,5514,32.102931361011485,35.209689,49.79999999999999,0.0
144,33,2026-04-27,15:27:40.032,49.8,759.842,120,1/1000.0,1.7,0,default,24.0,32.102484,35.209689,5514,32.102931361011485,35.209689,49.79999999999999,0.0
145,33,2026-04-27,15:27:40.066,49.8,759.842,120,1/1000.0,1.7,0,default,24.0,32.102484,35.209689,5514,32.10286208906238,35.209406713570594,49.79999999999999,327.68846679016326
146,34,2026-04-27,15:27:40.100,49.8,759.842,120,1/1000.0,1.7,0,default,24.0,32.102485,35.209687,5514,32.10286308906238,35.20940471356751,49.79999999999999,327.68846679016326
147,33,2026-04-27,15:27:40.132,49.8,759.842,120,1/1000.0,1.7,0,default,24.0,32.102485,35.209687,5514,32.10286308906238,35.20940471356751,49.79999999999999,327.68846679016326
148,33,2026-04-27,15:27:40.166,49.8,759.842,120,1/1000.0,1.7,0,default,24.0,32.102485,35.209687,5514,32.10286308906192,35.20940471356665,49.79999999999999,327.68846667981484
149,34,2026-04-27,15:27:40.200,49.8,759.842,120,1/1000.0,1.7,0,default,24.0,32.102487,35.209687,5514,32.10286508906192,35.20940471356047,49.79999999999999,327.68846667981484
150,33,2026-04-27,15:27:40.233,49.8,759.842,120,1/1000.0,1.7,0,default,24.0,32.102487,35.209687,5514,32.10286508906192,35.20940471356047,49.79999999999999,327.68846667981484
151,34,2026-04-27,15:27:40.266,49.8,759.842,120,1/1000.0,1.7,0,default,24.0,32.102487,35.209687,5514,32.10283898176178,35.20936104369737,49.79999999999999,321.8870735446368
152,33,2026-04-27,15:27:40.300,49.8,759.842,120,1/1000.0,1.7,0,default,24.0,32.102489,35.209685,5514,32.10284098176177,35.20935904369023,49.79999999999999,321.8870735446368
153,33,2026-04-27,15:27:40.333,49.8,759.842,120,1/1000.0,1.7,0,default,24.0,32.102489,35.209685,5514,32.10284098176177,35.20935904369023,49.79999999999999,321.8870735446368
154,34,2026-04-27,15:27:40.366,49.8,759.842,120,1/1000.0,1.7,0,default,24.0,32.102489,35.209685,5514,32.10284098176177,35.20935904369023,49.79999999999999,321.8870735446368
155,33,2026-04-27,15:27:40.399,49.8,759.842,120,1/1000.0,1.7,0,default,24.0,32.102491,35.209684,5514,32.102842981761775,35.209358043683096,49.79999999999999,321.8870735446368
156,33,2026-04-27,15:27:40.432,49.8,759.842,120,1/1000.0,1.7,0,default,24.0,32.102491,35.209684,5514,32.102842981761775,35.209358043683096,49.79999999999999,321.8870735446368
157,34,2026-04-27,15:27:40.467,49.8,759.842,120,1/1000.0,1.7,0,default,24.0,32.102491,35.209684,5514,32.10284298176157,35.209358043682776,49.79999999999999,321.8870735009143
